,NewDate
470556,20170420
225211,20090712
375782,20140913
226040,20091215
341954,20131117
119678,20050226
225283,20090922
562685,20200727
562792,20200911
26867,20010522
225325,20091103
225232,20090802
341862,20130914
562889,20201026
469534,20170228
438413,20160110
97719,20040918
439635,20160716
438645,20160523
531147,20191108
375651,20140709
225715,20090107
119794,20050701
96997,20040814
563024,20201207
142796,20060603
119950,20051205
197139,20080116
253317,20100531
531821,20190805
225205,20090706
225832,20090514
592311,20210528
196484,20080310
277418,20110910
142840,20060717
277571,20111206
501189,20180512
341654,20130602
407878,20150411
278301,20110524
407387,20150912
592434,20210629
3173,20000719
341651,20130601
438545,20160401
277463,20111013
225923,20090818
375626,20140627
469695,20170529
197453,20081205
51044,20021223
197209,20080327
439528,20160331
563107,20200110
119760,20050527
530817,20190531
96994,20040805
591922,20210105
592416,20210624
196530,20080425
530740,20190417
119661,20050209
438625,20160511
3034,20000302
376553,20141009
278464,20111107
197439,20081121
562492,20200515
51009,20021118
50066,20020228
592318,20210530
469686,20170524
500600,20180929
120502,20050610
592558,20210427
439009,20161126
530709,20190330
120480,20050519
167778,20070728
530653,20190302
341748,20130719
470006,20171101
168415,20070522
27014,20011016
225886,20090712
500187,20180126
252276,20100701
278467,20111110
341939,20131110
26099,20010706
120572,20050819
27048,20011119
341970,20131125
439067,20161227
120453,20050422
50086,20020320
500462,20180722
438457,20160203
50805,20020428
438835,20160830
143642,20061023
375614,20140621
277380,20110803
226050,20091225
500734,20181227
563304,20200728
592259,20210515
531937,20191201
469944,20171001
407147,20150408
375373,20140218
439458,20160121
407843,20150307
96846,20040213
74946,20031014
225328,20091106
26882,20010606
74805,20030519
167618,20070204
26160,20010910
500341,20180513
197161,20080208
531165,20191117
142831,20060708
375606,20140617
120552,20050730
592172,20210420
277385,20110808
376580,20141105
197239,20080505
376448,20140626
530611,20190208
375658,20140713
96806,20040103
563299,20200723
500416,20180626
226052,20091227
500545,20180901
277460,20111011
563259,20200612
470575,20170509
592038,20210224
562204,20200225
469487,20170205
142994,20061223
3157,20000703
97601,20040512
225318,20091027
97765,20041105
562626,20200705
143622,20061003
562770,20200831
225222,20090723
167650,20070319
530571,20190119
27078,20011222
167910,20071215
50970,20021010
469694,20170528
26934,20010728
167635,20070304
50088,20020322
342830,20131209
563082,20201227
225816,20090427
375687,20140727
407355,20150811
341460,20130201
3090,20000427
119665,20050213
407331,20150718
341875,20130921
277511,20111106
592461,20210120
562617,20200702
439678,20160908
531795,20190710
341479,20130304
277331,20110603
469540,20170303
26207,20011030
408073,20151104
252253,20100608
196730,20081204
120478,20050517
196456,20080211
74732,20030223
74828,20030616
119640,20050119
591929,20210107
438671,20160605
592110,20210327
469645,20170503
3288,20001111
563081,20201227
592398,20210620
26854,20010509
50846,20020608
277247,20110111
470057,20171214
142695,20060222
97657,20040710
562636,20200707
438492,20160305
500268,20180315
196612,20080808
530960,20190806
196633,20080829
196469,20080224
341659,20130605
501344,20181014
309447,20121121
531753,20190529
500712,20181208
375313,20140119
341843,20130905
563404,20201109
592443,20210102
120622,20051008
531179,20191124
197420,20081102
51029,20021208
196457,20080212
438630,20160513
439579,20160521
51017,20021126
142838,20060715
277593,20111221
500498,20180809
50721,20020203
591968,20210127
96895,20040426
342630,20130423
469987,20171023
341742,20130716
530955,20190804
26779,20010223
531193,20191201
531640,20190205
3216,20000831
562603,20200627
27013,20011015
342755,20130925
119779,20050615
309992,20120430
26126,20010802
26153,20010903
277613,20111231
407374,20150830
592574,20210522
119631,20050110
143666,20061116
252362,20100925
531731,20190507
341935,20131108
74700,20030122
439730,20161107
3291,20001114
530559,20190113
531829,20190813
470519,20170314
252337,20100831
439042,20161214
376617,20141212
142742,20060410
438617,20160507
469992,20171025
500635,20181017
197216,20080403
277537,20111119
342726,20130827
225260,20090830
167826,20070914
531703,20190409
592064,20210308
376589,20141114
168539,20070923
592420,20210625
592389,20210617
469737,20170620
470505,20170228
501294,20180825
469441,20170111
407194,20150502
196656,20080921
197146,20080123
277276,20110226
225952,20090916
341505,20130318
470038,20171126
562495,20200519
74787,20030501
252267,20100622
469644,20170502
563032,20201211
97695,20040817
341804,20130816
26073,20010610
26114,20010721
407119,20150325
530980,20190816
469899,20170909
376518,20140904
341493,20130312
376496,20140813
197437,20081119
119796,20050703
26745,20010120
252223,20100509
469472,20170128
469752,20170627
563441,20201216
142861,20060807
142956,20061115
252456,20101228
50886,20020718
438648,20160524
252384,20101017
97105,20041211
225964,20090928
341497,20130314
225812,20090423
97022,20040908
310043,20121207
3079,20000416
439479,20160211
470472,20170126
278219,20110113
530959,20190806
470470,20170124
225169,20090531
27044,20011115
592587,20210604
469430,20170105
562160,20200113
277251,20110201
252389,20101022
50032,20020113
438461,20160207
500183,20180124
50746,20020228
277525,20111113
277309,20110331
142873,20060824
278387,20110818
197454,20081206
309522,20121228
469954,20171006
3300,20001123
96834,20040131
309927,20120225
120495,20050603
50716,20020129
3318,20001211
470750,20171114
26194,20011017
531607,20190103
438445,20160126
592298,20210525
341829,20130829
562660,20200715
50148,20020521
120580,20050827
500624,20181011
375539,20140513
253247,20100322
375405,20140306
501129,20180226
562791,20200910
342809,20131118
406963,20150106
531908,20191102
530618,20190212
142655,20060106
438498,20160308
168326,20070222
469598,20170401
469775,20170709
469806,20170724
501158,20180327
167609,20070126
500513,20180816
277255,20110205
501359,20181102
225276,20090915
225848,20090530
74793,20030507
341494,20130312
341661,20130606
439537,20160409
278259,20110314
168330,20070226
376520,20140906
143608,20060913
342725,20130826
376633,20141228
562389,20200417
469836,20170808
278460,20111103
592448,20210107
50830,20020523
96972,20040714
143397,20060212
501200,20180523
196446,20080201
438848,20160905
50726,20020208
375612,20140620
591991,20210206
376373,20140412
26768,20010212
408127,20151228
225267,20090906
27085,20011229
309936,20120305
143655,20061105
252305,20100730
530645,20190226
97662,20040715
142719,20060318
51022,20021201
119904,20051020
26055,20010523
439745,20161122
591941,20210110
500304,20180406
530585,20190126
439040,20161213
375800,20140922
407829,20150221
197441,20081123
167702,20070510
469896,20170907
225083,20090224
592498,20210226
375512,20140428
74907,20030905
143645,20061026
50075,20020309
196518,20080413
120509,20050617
438780,20160731
309922,20120220
278224,20110118
309446,20121120
226001,20091105
376345,20140315
341810,20130819
253293,20100507
3175,20000721
142817,20060624
375911,20141116
168421,20070528
500691,20181118
469429,20170104
50839,20020601
50082,20020316
3231,20000915
375508,20140426
470512,20170307
562421,20200425
252258,20100613
469658,20170509
253199,20100201
592576,20210524
74680,20030102
225219,20090720
562844,20201003
562943,20201116
591920,20210104
407396,20150921
531849,20190904
500244,20180223
530976,20190814
531966,20191230
225136,20090418
120485,20050524
50694,20020103
253198,20100129
310007,20120515
252335,20100829
501302,20180902
168413,20070520
50965,20021005
341835,20130901
469925,20170922
341837,20130902
120508,20050616
500681,20181113
438480,20160223
225193,20090624
225053,20090125
252344,20100907
341575,20130422
50929,20020830
562659,20200714
470482,20170205
592438,20210630
278351,20110713
375588,20140608
563411,20201116
50714,20020127
74751,20030323
341417,20130111
470465,20170119
563440,20201215
500703,20181128
168503,20070818
225225,20090726
3254,20001008
278372,20110803
119940,20051125
50125,20020428
226023,20091128
375630,20140629
501168,20180408
470587,20170521
119687,20050307
50977,20021017
51042,20021221
50753,20020307
342576,20130116
278303,20110526
562847,20201004
168457,20070703
342697,20130729
278322,20110614
407136,20150403
167888,20071115
562502,20200528
26791,20010307
438798,20160809
168483,20070729
3119,20000526
168321,20070217
225836,20090518
592180,20210422
225097,20090310
26159,20010909
253403,20100904
142932,20061022
531115,20191023
470650,20170726
168401,20070508
26829,20010414
439470,20160202
50836,20020529
74865,20030723
439013,20161128
168352,20070320
167832,20070920
376473,20140721
168472,20070718
375733,20140819
27008,20011010
167845,20071003
341718,20130704
592188,20210425
342669,20130701
252271,20100626
197285,20080620
562366,20200411
439509,20160312
375666,20140717
530606,20190205
278291,20110514
97819,20041229
470517,20170312
120510,20050618
252331,20100825
309915,20120213
376636,20141231
501147,20180316
438732,20160705
26938,20010801
168574,20071118
143628,20061009
375426,20140316
501143,20180312
143464,20060420
341952,20131116
168335,20070303
120421,20050321
277487,20111025
375441,20140324
50732,20020214
277378,20110801
376628,20141223
74902,20030831
26127,20010803
438451,20160129
407915,20150518
376277,20140106
407354,20150810
342600,20130209
97675,20040728
342818,20131127
341918,20131027
119637,20050116
252270,20100625
530814,20190529
50930,20020831
592269,20210518
501367,20181110
50092,20020326
530552,20190109
438563,20160410
74917,20030915
407421,20151016
501241,20180703
341492,20130311
119800,20050707
500693,20181120
342022,20131227
500526,20180823
375324,20140124
563308,20200801
225117,20090330
167846,20071004
438446,20160127
277430,20110922
469747,20170625
252262,20100617
309383,20120418
375830,20141007
252311,20100805
74867,20030725
470680,20170826
197281,20080616
26963,20010826
439065,20161226
531632,20190128
341587,20130428
500476,20180729
74807,20030521
278491,20111204
592068,20210309
469743,20170623
3130,20000606
50060,20020222
562539,20200606
439070,20161228
167839,20070927
225033,20090105
51039,20021218
142926,20061016
3266,20001020
592222,20210505
119735,20050502
407260,20150604
277282,20110304
119936,20051121
277377,20110731
438515,20160317
341565,20130417
277590,20111219
375709,20140807
407262,20150605
592430,20210628
226026,20091201
168306,20070202
438402,20160105
3055,20000323
438845,20160904
562556,20200611
531928,20191122
25996,20010311
26000,20010315
562209,20200226
26222,20011119
119683,20050303
97655,20040708
26011,20010326
225248,20090818
341484,20130307
142682,20060209
197293,20080628
562609,20200630
74799,20030513
143375,20060121
225223,20090724
376492,20140809
592121,20210401
341702,20130626
501152,20180321
309961,20120330
500225,20180214
74974,20031111
592292,20210524
501146,20180315
310038,20121202
407386,20150911
407888,20150421
74895,20030824
168389,20070426
562865,20201013
278393,20110824
97576,20040417
26802,20010318
277435,20110927
407884,20150417
142847,20060724
375920,20141121
469833,20170807
376000,20141231
376456,20140704
197374,20080917
342785,20131025
592147,20210411
375417,20140312
563162,20200307
278310,20110602
375865,20141024
376614,20141209
530953,20190803
196517,20080412
142938,20061028
376394,20140503
531762,20190607
375331,20140128
407863,20150327
592265,20210517
278489,20111202
26737,20010112
225873,20090629
470639,20170712
252294,20100719
309954,20120323
375573,20140531
531616,20190112
253496,20101229
501395,20181208
50816,20020509
500391,20180613
500374,20180603
143462,20060418
277259,20110209
562388,20200417
376475,20140723
3172,20000718
376558,20141014
469656,20170508
143633,20061014
500412,20180624
562788,20200909
196757,20081231
120458,20050427
97750,20041019
119747,20050514
3118,20000525
501340,20181010
562550,20200610
252206,20100422
225746,20090209
310067,20121231
592295,20210524
225177,20090608
97650,20040703
120525,20050703
500431,20180706
74724,20030215
341893,20130930
168519,20070903
309948,20120317
470760,20171130
197369,20080912
563325,20200818
407159,20150414
277366,20110708
167908,20071213
3063,20000331
375570,20140530
530558,20190112
197189,20080307
225810,20090421
531838,20190824
531017,20190904
197188,20080306
531151,20191110
562802,20200914
252422,20101124
469639,20170430
50812,20020505
96926,20040529
26093,20010630
592544,20210413
531862,20190917
407205,20150507
168502,20070817
470466,20170120
438590,20160423
168583,20071127
142788,20060526
97802,20041212
376552,20141008
96884,20040322
469945,20171002
168331,20070227
309297,20120104
341603,20130506
341583,20130426
97789,20041129
119839,20050815
375932,20141127
592118,20210331
26962,20010825
277314,20110405
50100,20020403
197294,20080629
277289,20110311
196482,20080308
341648,20130530
120384,20050212
120614,20050930
469544,20170305
500660,20181102
531006,20190829
309893,20120121
50963,20021003
375427,20140317
74822,20030610
407377,20150902
341789,20130809
563028,20201209
341627,20130518
50775,20020329
278373,20110804
562897,20201030
500408,20180622
500315,20180417
375848,20141016
3244,20000928
342688,20130720
439700,20160930
119901,20051017
50940,20020910
278343,20110705
530574,20190120
97623,20040606
375288,20140106
408126,20151227
225790,20090326
74696,20030118
50699,20020108
592369,20210612
225756,20090219
407797,20150117
562916,20201109
500515,20180817
500609,20181004
225098,20090311
197412,20081025
143684,20061204
530610,20190208
167906,20071211
342595,20130204
196471,20080226
253437,20101008
375631,20140629
3036,20000304
530841,20190608
196491,20080317
225259,20090829
50053,20020215
3255,20001009
562371,20200412
97591,20040502
26897,20010621
438456,20160202
120658,20051113
376495,20140812
197302,20080707
562343,20200405
408023,20150915
531167,20191118
3222,20000906
501165,20180405
500667,20181106
27073,20011217
438849,20160906
438512,20160315
196745,20081219
278423,20110923
196465,20080220
26053,20010521
470716,20171001
592179,20210422
167874,20071101
562437,20200429
531886,20191011
143507,20060602
530857,20190616
96832,20040129
225240,20090810
375577,20140602
439443,20160106
375827,20141005
562237,20200304
252391,20101024
97094,20041119
375712,20140809
438557,20160407
3190,20000805
225280,20090919
563326,20200819
277499,20111031
408111,20151212
168469,20070715
531754,20190530
407968,20150710
407165,20150417
376586,20141111
341516,20130323
470454,20170108
278379,20110810
376443,20140621
342762,20131002
225200,20090701
50875,20020707
439743,20161120
253423,20100924
310004,20120512
168604,20071218
196565,20080622
438628,20160512
531664,20190301
3242,20000926
97731,20040930
74704,20030126
26831,20010416
278283,20110506
3108,20000515
97592,20040503
562249,20200307
376578,20141103
375718,20140812
143371,20060117
97604,20040515
562394,20200418
74938,20031006
225359,20091207
439522,20160325
407979,20150724
439594,20160605
500527,20180823
119700,20050328
562745,20200820
50803,20020426
375372,20140217
26078,20010615
278246,20110228
74888,20030817
562427,20200426
167871,20071029
562196,20200223
341898,20131002
469732,20170617
591989,20210206
253338,20100621
142737,20060405
470464,20170118
562139,20200108
407803,20150123
531755,20190531
562400,20200420
375620,20140624
26035,20010503
342023,20131228
341723,20130707
530956,20190804
500214,20180208
375502,20140423
563365,20200927
563223,20200507
591978,20210202
562969,20201122
501123,20180220
225811,20090422
225977,20091011
592376,20210614
341694,20130622
253394,20100826
50750,20020304
252352,20100915
225148,20090430
253486,20101219
438520,20160319
375944,20141203
531631,20190127
309407,20120430
562646,20200710
197292,20080627
438717,20160628
167667,20070405
592257,20210515
375597,20140612
530796,20190518
375738,20140822
168427,20070603
196725,20081129
470686,20170901
501236,20180628
407931,20150603
3160,20000706
407472,20151206
341863,20130915
530950,20190801
142845,20060722
470647,20170723
439566,20160508
530811,20190528
531656,20190221
562751,20200821
500162,20180113
500221,20180212
342792,20131101
470077,20171224
50953,20020923
26087,20010624
168584,20071128
376627,20141222
531922,20191116
50842,20020604
253345,20100628
375736,20140821
143657,20061107
225789,20090325
375376,20140219
501414,20181227
225831,20090513
375790,20140917
253454,20101025
501169,20180413
438908,20161006
530951,20190802
563210,20200424
531842,20190828
26101,20010708
119671,20050219
592145,20210410
309304,20120110
592541,20210410
167610,20070127
50784,20020407
439556,20160428
375723,20140814
26215,20011107
470547,20170411
120672,20051127
563159,20200304
438655,20160528
167907,20071212
500732,20181226
168279,20070106
97626,20040609
277389,20110812
469708,20170605
309964,20120402
197207,20080325
376441,20140619
197191,20080309
3294,20001117
26019,20010415
500559,20180908
26026,20010422
168428,20070604
27043,20011114
142930,20061020
592445,20210104
562325,20200401
197255,20080521
50867,20020629
407142,20150406
143679,20061129
500537,20180828
26977,20010909
531705,20190411
252115,20100120
226048,20091223
143383,20060129
407289,20150619
196677,20081012
119812,20050719
439541,20160413
3129,20000605
142687,20060214
530557,20190112
75004,20031211
196478,20080304
168564,20071108
530680,20190316
500503,20180811
96919,20040522
26040,20010508
143567,20060803
438427,20160117
74714,20030205
439511,20160314
309917,20120215
562710,20200810
469523,20170223
500280,20180321
530970,20190811
469595,20170331
501404,20181217
375675,20140721
592213,20210502
341418,20130111
341880,20130923
342610,20130219
253275,20100419
341577,20130423
500222,20180212
501125,20180222
310041,20121205
196596,20080723
530689,20190320
592321,20210531
120467,20050506
562579,20200617
96873,20040311
196588,20080715
438812,20160818
562355,20200408
438450,20160129
309394,20120423
74959,20031027
50061,20020223
563353,20200915
439633,20160714
96928,20040531
500480,20180731
469989,20171024
592441,20210630
469701,20170602
142791,20060529
26764,20010208
50870,20020702
342771,20131011
563250,20200603
501238,20180630
500651,20181027
278319,20110611
142922,20061012
50891,20020723
96914,20040515
197138,20080115
470641,20170714
225072,20090213
167769,20070719
167842,20070930
408000,20150823
341461,20130202
469600,20170402
376629,20141224
197317,20080722
439740,20161117
168434,20070610
531087,20191009
530546,20190106
562438,20200429
592502,20210302
120362,20050121
562250,20200307
143533,20060628
278420,20110920
168487,20070802
50155,20020528
469962,20171010
277587,20111218
376464,20140712
167893,20071128
120549,20050727
278468,20111111
341410,20130107
439757,20161204
407248,20150529
530561,20190114
375794,20140919
592034,20210222
530837,20190606
342813,20131122
408123,20151224
225043,20090115
470593,20170527
375419,20140313
196690,20081025
531137,20191103
470698,20170913
196617,20080813
3182,20000728
438861,20160912
439632,20160713
197124,20080101
407930,20150602
277327,20110418
563400,20201101
531008,20190830
342724,20130825
470567,20170501
26085,20010622
500406,20180621
376354,20140324
341670,20130610
167624,20070210
562807,20200915
592104,20210324
439514,20160317
375362,20140212
119785,20050621
501134,20180303
375401,20140304
439548,20160420
197276,20080611
592014,20210215
167873,20071031
592299,20210525
562679,20200724
341822,20130825
278233,20110127
74856,20030714
225976,20091010
119648,20050127
309389,20120421
119840,20050816
375557,20140522
562752,20200822
341881,20130924
562965,20201121
407820,20150212
143584,20060820
375582,20140605
407360,20150816
143690,20061210
143362,20060108
563332,20200825
50158,20020531
375815,20140929
438964,20161103
407326,20150713
278375,20110806
342759,20130929
309952,20120321
375386,20140224
167700,20070508
341986,20131203
469423,20170101
196692,20081027
407882,20150415
407793,20150113
470018,20171107
277318,20110409
341963,20131122
530909,20190712
26118,20010725
469434,20170108
592201,20210429
120674,20051129
50729,20020211
168423,20070530
563369,20201001
97732,20041001
531687,20190324
341916,20131026
74821,20030609
501278,20180809
407048,20150218
225187,20090618
500273,20180317
375741,20140823
531880,20191005
501229,20180621
277450,20111006
167611,20070128
592595,20210612
469680,20170521
500616,20181007
119955,20051210
27002,20011004
196716,20081120
438885,20160925
375335,20140130
252121,20100126
51023,20021202
197377,20080920
406995,20150122
375710,20140808
309937,20120306
500294,20180329
562675,20200722
375357,20140210
407285,20150617
277381,20110804
278475,20111118
226025,20091130
26181,20011004
407005,20150127
407284,20150617
225960,20090924
50832,20020525
376485,20140802
278263,20110318
277466,20111014
438713,20160626
407182,20150426
530577,20190122
407961,20150703
470588,20170522
119830,20050806
375429,20140318
562532,20200605
375998,20141230
439736,20161113
562382,20200415
225113,20090326
278507,20111220
500383,20180609
168484,20070730
167746,20070623
592569,20210515
342561,20130101
120490,20050529
530629,20190218
3162,20000708
97642,20040625
142675,20060129
562769,20200830
531024,20190907
277320,20110411
120595,20050911
3166,20000712
97691,20040813
376567,20141023
438797,20160809
407392,20150917
310058,20121222
278406,20110906
407010,20150130
120685,20051210
26037,20010505
26775,20010219
3124,20000531
469845,20170813
470676,20170821
531859,20190914
120361,20050120
74705,20030127
50883,20020715
143551,20060716
438467,20160213
252423,20101125
438476,20160221
74909,20030907
341884,20130925
196578,20080705
592335,20210604
51015,20021124
530751,20190424
120506,20050614
120382,20050210
438977,20161110
531934,20191128
26116,20010723
408112,20151213
252102,20100107
407158,20150414
74850,20030708
3252,20001006
341533,20130401
531156,20191112
563041,20201214
225709,20090101
3106,20000513
167894,20071129
97736,20041005
119892,20051008
74840,20030628
438938,20161021
407895,20150428
97763,20041103
563043,20201215
592112,20210328
531669,20190306
375340,20140201
562357,20200409
407088,20150310
26794,20010310
439486,20160218
168414,20070521
119934,20051119
407211,20150510
225121,20090403
26013,20010328
277541,20111121
376340,20140310
563060,20201221
278277,20110401
530830,20190603
119913,20051029
50036,20020125
438561,20160409
120345,20050104
470684,20170830
252196,20100412
592426,20210627
438553,20160405
592183,20210423
531117,20191024
3298,20001121
278328,20110620
3085,20000422
592402,20210621
3258,20001012
253190,20100121
253392,20100824
196698,20081102
592520,20210320
168463,20070709
142917,20061007
470473,20170127
562246,20200306
375744,20140825
26984,20010916
592598,20210615
196663,20080928
225882,20090708
562612,20200701
469975,20171017
168489,20070804
50107,20020410
469462,20170122
469786,20170714
26039,20010507
439766,20161213
309376,20120414
74950,20031018
142920,20061010
119688,20050308
196627,20080823
376461,20140709
375532,20140508
406985,20150117
277349,20110621
530889,20190702
197142,20080119
375374,20140218
26180,20011003
74958,20031026
438686,20160612
530661,20190306
469552,20170309
253441,20101012
74975,20031112
592518,20210318
119696,20050316
375451,20140329
531192,20191130
342628,20130421
407098,20150315
501303,20180903
591938,20210109
75015,20031222
168442,20070618
592542,20210411
309402,20120427
26081,20010618
225737,20090131
375506,20140425
531773,20190618
252096,20100101
119810,20050717
26255,20011222
278394,20110825
530826,20190602
197329,20080803
252292,20100717
438843,20160903
97743,20041012
375842,20141013
469986,20171022
96955,20040627
562290,20200320
438537,20160328
407846,20150310
376329,20140227
531615,20190111
407487,20151221
470479,20170202
438743,20160711
500574,20180916
119851,20050828
26249,20011216
408066,20151028
376505,20140822
592124,20210403
531956,20191220
120446,20050415
469499,20170211
26889,20010613
277494,20111028
500345,20180515
592032,20210221
309442,20121007
530834,20190604
253402,20100903
74721,20030212
143668,20061118
592249,20210513
438495,20160307
341459,20130201
438842,20160902
500546,20180902
278235,20110129
197286,20080621
119866,20050912
563119,20200122
120624,20051010
74824,20030612
439673,20160903
562291,20200320
225080,20090221
225791,20090327
470636,20170709
501261,20180723
531742,20190518
26806,20010322
563396,20201028
143513,20060608
562644,20200709
531696,20190402
142839,20060716
500719,20181215
196666,20081001
470617,20170620
530665,20190308
119744,20050511
408038,20150930
341438,20130121
226033,20091208
341455,20130130
563128,20200131
592602,20210619
563434,20201209
120679,20051204
531058,20190924
278459,20111102
470062,20171216
97609,20040520
438687,20160613
309329,20120205
3239,20000923
592589,20210606
74697,20030119
592159,20210415
309459,20121127
530725,20190408
375649,20140708
563115,20200118
50035,20020124
531887,20191012
74699,20030121
530966,20190809
562486,20200514
407431,20151026
407394,20150919
278281,20110405
407091,20150311
25991,20010306
253355,20100708
531792,20190707
26033,20010501
168550,20071004
500368,20180531
97597,20040508
469774,20170708
278422,20110922
97020,20040906
26061,20010529
226006,20091110
438508,20160313
376453,20140701
253474,20101114
500382,20180608
562823,20200922
341751,20130721
168275,20070102
501222,20180614
469689,20170526
225919,20090814
438943,20161024
592252,20210514
253237,20100312
96930,20040602
3233,20000917
439693,20160923
253478,20101118
500392,20180614
562619,20200703
74879,20030806
97784,20041124
97767,20041107
469877,20170829
376537,20140923
469490,20170206
407825,20150217
376321,20140219
563279,20200703
376610,20141205
26878,20010602
592100,20210322
26204,20011027
500500,20180810
253187,20100118
438867,20160915
408090,20151121
376299,20140128
74878,20030805
119894,20051010
470691,20170906
376585,20141110
470063,20171217
309977,20120415
225309,20091018
408113,20151214
469736,20170619
375320,20140122
592097,20210320
592525,20210325
278306,20110529
27054,20011125
3229,20000913
500713,20181209
120550,20050728
225864,20090620
531730,20190506
167669,20070407
278354,20110716
376594,20141119
196477,20080303
407074,20150303
342705,20130806
143398,20060213
27055,20011126
469444,20170113
341846,20130906
470557,20170421
438434,20160121
530808,20190526
120411,20050311
438470,20160216
310059,20121223
531729,20190505
562473,20200508
143517,20060612
197359,20080902
531693,20190330
408076,20151107
168606,20071220
438740,20160709
341766,20130728
225172,20090603
26913,20010707
591981,20210203
470739,20171030
252315,20100809
252458,20101230
96879,20040317
309308,20120125
74768,20030409
531884,20191009
531237,20191223
469983,20171021
310003,20120511
26879,20010603
375942,20141202
470744,20171104
407206,20150508
562326,20200401
119863,20050909
26774,20010218
592085,20210316
469960,20171009
253323,20100606
341576,20130422
531219,20191214
26129,20010810
375314,20140119
309996,20120504
142665,20060119
470609,20170612
277548,20111124
341984,20131202
592039,20210224
225162,20090514
562144,20200109
407914,20150517
168496,20070811
309969,20120407
143423,20060310
592413,20210623
376310,20140208
142773,20060511
3082,20000419
469532,20170227
252410,20101112
142809,20060616
142992,20061221
407286,20150618
469529,20170226
120548,20050726
341995,20131208
50114,20020417
74707,20030129
3193,20000808
469909,20170914
341774,20130801
50851,20020613
309351,20120401
406954,20150102
120410,20050310
341507,20130319
143498,20060524
375536,20140510
119741,20050508
375358,20140210
119693,20050313
119910,20051026
142694,20060221
342757,20130927
376603,20141128
407175,20150422
167603,20070120
591928,20210106
225244,20090814
341540,20130404
26052,20010520
225934,20090829
592119,20210331
143405,20060220
530693,20190322
50933,20020903
469606,20170405
277445,20111004
407033,20150210
592301,20210526
562547,20200609
530635,20190221
168294,20070121
407066,20150227
168514,20070829
592237,20210509
50843,20020605
375415,20140311
501390,20181203
120544,20050722
530598,20190201
407320,20150707
252215,20100501
341473,20130301
309348,20120214
119968,20051223
309316,20120129
119695,20050315
469915,20170917
376570,20141026
563049,20201216
168391,20070428
252297,20100722
562953,20201118
592390,20210618
253358,20100711
531197,20191203
167819,20070907
252327,20100821
26080,20010617
500448,20180715
167739,20070616
407391,20150916
439055,20161221
592133,20210407
407858,20150322
562188,20200221
438481,20160224
501111,20180208
143392,20060207
438973,20161108
142836,20060713
592267,20210517
97796,20041206
3307,20001130
225140,20090422
278260,20110315
196645,20080910
375880,20141101
167772,20070722
531680,20190317
562120,20200103
562416,20200424
309345,20120213
253254,20100329
438881,20160922
562934,20201114
252285,20100710
470711,20170926
50106,20020409
50057,20020219
439464,20160127
50748,20020302
225159,20090511
342810,20131119
225293,20091002
167753,20070703
592041,20210225
531714,20190420
530938,20190726
562130,20200105
531132,20191031
531781,20190626
167919,20071224
375789,20140916
530630,20190218
376421,20140530
119649,20050128
142770,20060508
469445,20170113
438974,20161108
26845,20010430
438821,20160823
225804,20090411
531082,20191006
225147,20090429
469634,20170427
531927,20191121
309474,20121204
225750,20090213
225287,20090926
142949,20061108
530721,20190406
26811,20010327
253360,20100713
119691,20050311
562198,20200223
278385,20110816
143357,20060103
469450,20170116
196629,20080825
168383,20070420
562979,20201125
531676,20190313
469878,20170829
3323,20001216
309997,20120505
97644,20040627
